pubmed_id,pmcid,OAK MEADOW
11742998,PMC125340,RIVINGTON ROAD
11980704,PMC125375,STONEACRE CLOSE
11447125,PMC125543,THORNFIELD GROVE
12093723,PMC126080,THREADNEEDLE PLACE
12456663,PMC136939,MARPLE GARDENS
12525263,PMC140314,HILLINGDON ROAD
12734001,PMC156578,HEDGEBANK
12881428,PMC169038,FOXTAIL MEADOW
12844350,PMC193621,STABLEFORD CLOSE
14517239,PMC204495,HULME ROAD
12969506,PMC212558,AYSGARTH AVENUE
12964944,PMC222908,SPINNINGFIELD CLOSE
14499001,PMC222911,MANCHESTER NEW ROAD
14499005,PMC222961,GREENWAY ROAD
14624234,PMC261870,WARREN AVENUE
14609438,PMC280685,CORPORAL HARVEY HOLMES WAY
14629774,PMC293432,OAKHURST DRIVE
14691538,PMC300679,SPINNINGFIELD CLOSE
10970862,PMC302072,DOUNE AVENUE
14702098,PMC302190,THE AVENUE
10921875,PMC306617,WHITEGATE LANE
14748927,PMC343292,SPINNINGFIELD CLOSE
14748926,PMC343293,STABLEFORD CLOSE
15025770,PMC420028,CORPORAL HARVEY HOLMES WAY
14975048,PMC420071,EATON ROAD
14975037,PMC420074,JOYCE STREET
15132748,PMC421742,STAMFORD DRIVE
15161495,PMC434493,LEIGH ROAD
15180906,PMC442122,CAMBOURNE ROAD
15222897,PMC446188,COTTON MEADOWS
15153232,PMC468889,FELDSPAR CLOSE
15253776,PMC481056,LADYSMITH GROVE
15028113,PMC516801,BASTED LANE
15333144,PMC517494,MITCHELL AVENUE
15347429,PMC517714,UNITY STREET
15357874,PMC518965,ROMAN ROAD
15298713,PMC520756,WALMER GARDENS
15507150,PMC524032,POCHARD CRESCENT
15504232,PMC529439,LEEDS SQUARE
15533244,PMC529455,SHORTLANDS ROAD
15518593,PMC534108,FELDSPAR CLOSE
15544707,PMC535339,WEST DUMPTON LANE
15548333,PMC538260,STREAM LANE
15630477,PMC539059,FIRMIN AVENUE
15606924,PMC544195,CUDWORTH ROAD
15631631,PMC544859,MERCHANTS WAY
15627404,PMC544882,TEAL DRIVE
15638943,PMC545044,HAREBROOK
15631634,PMC545053,IRVINE DRIVE
15644134,PMC545063,KEATING CLOSE
15696218,PMC545201,CURTIS ROAD
15653644,PMC546170,SYCAMORE GRANGE
15653627,PMC546175,VAUXHALL CRESCENT
15655079,PMC546205,AURELIUS CLOSE
15661082,PMC548145,BUTTERMERE
15659574,PMC548373,LOCKHAM FARM AVENUE
15705200,PMC549079,ROLVENDEN ROAD
15686594,PMC549190,CLARENCE ROAD
15722479,PMC549431,THE BROADWAY
15703085,PMC549520,NORTHUMBERLAND AVENUE
15736991,PMC549583,ETHELBERT ROAD
15736999,PMC549591,IRON BAR LANE
15292578,PMC551583,BELVEDERE CLOSE
15725355,PMC552329,SHETLAND WAY
15720728,PMC552331,DIJON STREET
15727684,PMC554982,HARROWBY STREET
15743519,PMC555555,WARWICK ROAD
15737066,PMC1054884,WOOD ROAD
15469583,PMC1065028,MOSSWAY
15566586,PMC1065064,CRAIG AVENUE
15693973,PMC1065120,HALL STREET
15767280,PMC1065257,DEANE CLOSE
15800206,PMC1072806,COVENTRY GROVE
15817564,PMC1074749,ASSHETON ROAD
15884975,PMC1084330,STOCKS ROAD
15804368,PMC1084353,GARMOYLE ROAD
15833113,PMC1087510,THORN ROAD
15817134,PMC1090557,LANGHOLM DRIVE
15819995,PMC1090578,OLDHAM ROAD
15884978,PMC1110908,GRANGETHORPE DRIVE
15850481,PMC1127111,STANWELL ROAD
15916469,PMC1140948,CORONATION CRESCENT
15937562,PMC1142193,PHILIPS DRIVE
15791205,PMC1142572,MALIN CLOSE
15941360,PMC1149493,PENARTH ROAD
15933718,PMC1150889,ELEANOR ROAD
15885145,PMC1156866,STALBRIDGE AVENUE
15904493,PMC1156889,CEMETERY ROAD SOUTH
15921526,PMC1156932,HUXLEY AVENUE
15888207,PMC1156954,COLVILLE ROAD
15980450,PMC1160239,DOVEDALE AVENUE
15980524,PMC1160249,COLNE STREET
15967040,PMC1166558,HADDON ROAD
9545250,PMC1170582,HALSTEAD STREET
10523308,PMC1171632,ALMA STREET
15774058,PMC1175928,HURST STREET
15960809,PMC1175961,FOG LANE
15927084,PMC1177995,GREYFRIARS CRESCENT
16013892,PMC1181873,CUNLIFFE ROAD
16055920,PMC1182165,BRIERCLIFFE ROAD
16042814,PMC1183192,LONGSHAW STREET
15963240,PMC1183252,HUDSON ROAD
15987510,PMC1185527,NEWHOUSE ROAD
16104827,PMC1188248,SOUTH PARK DRIVE
16107218,PMC1190220,TAYBANK AVENUE
16136204,PMC1193560,LINKS VIEW
16128623,PMC1197287,BURGESS AVENUE
16091143,PMC1201173,INNER PROMENADE
16155181,PMC1201327,SHAROW GROVE
16138926,PMC1208914,WHITBY ROAD
16078989,PMC1208931,CLIFTON AVENUE
16092972,PMC1215505,GARSTANG ROAD EAST
16076403,PMC1215526,SUNNYMERE DRIVE
16120225,PMC1232855,SURREY STREET
16115318,PMC1232869,OAT STREET
16122388,PMC1236967,ELM AVENUE
16168085,PMC1242213,WASDALE ROAD
16176577,PMC1242244,PARSONAGE ROAD
15238283,PMC1247383,CHURCH STREET
15531441,PMC1247620,STEPHEN STREET
16115319,PMC1249587,MELBOURNE AVENUE
15866764,PMC1257548,HARBOUR LANE
16115320,PMC1260030,BAINES AVENUE
16171519,PMC1261265,CRESCENT COURT
16174304,PMC1262710,DEVONSHIRE ROAD
16219096,PMC1262740,PARK VIEW COURT
16243783,PMC1266063,MACAULEY AVENUE
16137388,PMC1269424,RUTHERFORD PLACE
16137387,PMC1269432,CLIFFORD AVENUE
16137366,PMC1269436,WATERLOO ROAD
16137358,PMC1269458,HESKETH LANE
15885149,PMC1274243,ORRELL LANE
16229749,PMC1276795,LYTH ROAD
16275781,PMC1278949,ALEXANDRA ROAD
16305755,PMC1287064,PARK ROAD
16435887,PMC1288026,LOWER CRIBDEN AVENUE
16277735,PMC1297606,APPLETREE DRIVE
16259634,PMC1298296,SHARPLES HALL STREET
16341254,PMC1298938,THE ROWANS
15459728,PMC1299207,BIVEL STREET
15643439,PMC1299236,BIRKDALE ROAD
16336043,PMC1310650,KNOWLYS ROAD
16293192,PMC1314898,CHATBURN PARK DRIVE
16324220,PMC1315359,KESWICK ROAD
16354103,PMC1315361,CLOUGH STREET
16283933,PMC1318487,HEYSHAM ROAD
16379498,PMC1324949,CHESTNUT COURT
16379499,PMC1324951,BEVERLEY CLOSE
16415982,PMC1326218,HILLOCK LANE
16401173,PMC1326257,LINDSAY PARK
14528257,PMC1326407,SANDHURST AVENUE
16420098,PMC1351155,DUCKWORTH DRIVE
16403223,PMC1351169,BURTON AVENUE
16401352,PMC1352377,QUARRY MOUNT MEWS
16417644,PMC1360066,HIGHGATE AVENUE
16401354,PMC1373654,LONG MEADOWS
16466582,PMC1382231,HAMERS WOOD DRIVE
16738708,PMC1383484,THE STRAND
16500894,PMC1383626,PRESTON ROAD
16445856,PMC1386657,RICHMOND HILL STREET
16451721,PMC1388193,HOLLOWHEAD LANE
16504001,PMC1397830,KIRBY AVENUE
16441899,PMC1403753,STATION ROAD
16512917,PMC1420323,NEW OXFORD STREET
16512903,PMC1421410,AVONDALE ROAD
16480500,PMC1431529,CASTLE DRIVE
16549011,PMC1431560,HARTINGTON STREET
16608385,PMC1435785,GAISGILL AVENUE
16605302,PMC1435788,HALLS SQUARE
16617377,PMC1435987,WITTLEWOOD DRIVE
16571117,PMC1444920,NORTH CROFT
